"fdc_id","food_desc","foodgroup","Edible_factor_in_FCT","WATERg","ENERCkJ","ENERCkcal","FAT_g","FASATg","F12D0g","F14D0g","F16D0g","F18D0g","FATRNg","FAMSg","F16D1g","F18D1g","FAPUg","F18D2N6g","F18D3N3g","F20D3N3g","F20D3N6g","F20D4N3g","F20D4N6g","F20D5N3g","F22D5N3g","F22D6N3g","omega_3","omega_6","CHOLEmg","CHOAVLg","STARCHg","mono_di","SUGARg","FIBTGg","PROCNTg","salt","ALCg","VITA_RAEmcg","RETOLmcg","CARTBmcg","VITDmcg","VITEmg","THIAmg","RIBFmg","NIAmg","VITB6_mg","FOLmcg","VITB12mcg","VITCmg","CAmg","FEmg","NAmg","Kmg","MGmg","ZNmg","SEmcg","CUmg","Pmg","IDmcg","scientific_name","nutrient_data_source","source_fct"
"1.4","Cheese","Milk and milk products",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Information on the source of each value can be found in NO21-biblio.csv ","NO21"
"1.4.1","Cheese, extra fat","Milk and milk products",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Information on the source of each value can be found in NO21-biblio.csv ","NO21"
"01.261","Cheese, blue mold, Gorgonzola","Milk and milk products",1,42,1486,359,31.2,20.3,1.01,3.07,8.07,3.21,0.6,6.8,0.4,6.15,0.9,0.49,0.12,0,0.02,0.01,0.03,0.01,0.02,0,"0.17","0.56999999999999995",87,0.1,0,"0.1",0,0,19.4,"3.6",0,350,336,168,0,0,0.01,0.18,0.9,0.07,52,1.2,0,612,0.3,1450,138,18,2.5,7,0.02,356,12,NA,"Information on the source of each value can be found in NO21-biblio.csv ","NO21"
"01.042","Cheese, blue mold, Norzola","Milk and milk products",1,48,1584,383,35,22.2,1.05,3.5,9.91,3.64,1,8.4,0.8,7.14,0.8,0.49,0.14,0,0,0,0,0,0,0,"0.14000000000000001","0.14000000000000001",86,0,0,"0",0,0,17,"2.5",0,333,316,206,0,0.9,0.06,0.3,1.1,0.12,47,1.5,0,500,0.1,1000,84,21,2.8,10,0.02,360,42,NA,"Information on the source of each value can be found in NO21-biblio.csv ","NO21"
"01.287","Cheese, blue mold, organic, Selbu Blå","Milk and milk products",1,46,1698,411,39,25.9,1.41,4.47,11.22,3.62,1.1,8.3,0.85,6.71,0.9,0.69,0.19,0,0,0,0,0,0,0,"0.2","0.2",107,0,0,"0",0,0,15,"2.2000000000000002",0,331,315,187,0,1,NA,0.2,0.9,0.11,45,1.2,0,380,0.1,860,75,19,2.1,9,0.02,280,23,NA,"Information on the source of each value can be found in NO21-biblio.csv ","NO21"
"01.264","Cheese, blue mold, Roquefort","Milk and milk products",1,42,1470,355,31,20.2,1.01,3.06,8.04,3.2,0.6,6.8,0.4,6.13,0.9,0.49,0.12,0,0.02,0.01,0.03,0.01,0.02,0,"0.17","0.56999999999999995",90,0,0,"0",0,0,19,"4",0,300,295,58,0.7,0.6,0.03,0.41,0.6,0.1,45,0.4,0,608,0.4,1600,120,27,3.7,6,0.12,430,40,NA,"Information on the source of each value can be found in NO21-biblio.csv ","NO21"
"01.252","Cheese, blue mold, Selbu Blå","Milk and milk products",1,45,1735,420,40,25.3,1.2,4,11.32,4.16,1.2,9.6,0.92,8.16,0.9,0.56,0.16,0,0,0,0,0,0,0,"0.16","0.16",98,0,0,"0",0,0,15,"2.2000000000000002",0,381,361,235,0,1,0.05,0.3,0.9,0.11,42,1.4,0,440,0.1,880,75,19,2.5,9,0.02,320,37,NA,"Information on the source of each value can be found in NO21-biblio.csv ","NO21"
"01.262","Cheese, gruyere","Milk and milk products",1,33,1709,412,32.3,18.9,0.91,3.37,8.75,2.32,0.6,10,0.72,8.58,1.7,1.3,0.43,0,0,0,0,0,0,0,"0.43","1.3",110,0.4,0,"0.4",0,0,29.8,"1.8",0,271,268,33,0.6,0.3,0.06,0.28,0.1,0.08,10,1.6,0,1011,0.2,714,81,36,3.9,5,0.03,605,40,NA,"Information on the source of each value can be found in NO21-biblio.csv ","NO21"
"01.027","Cheese, hard, Cheddar","Milk and milk products",1,43,1614,389,32,20.3,0.96,3.2,9.06,3.33,1,7.7,0.74,6.53,0.7,0.45,0.13,0,0,0,0,0,0,0,"0.13","0.13",79,0.3,0,"0.3",0,0,25,"2",0,376,364,141,0.3,0.6,0.03,0.3,0.1,0.15,31,2.4,0,660,0.2,800,70,24,3.4,6,0.04,445,30,NA,"Information on the source of each value can be found in NO21-biblio.csv ","NO21"
"01.263","Cheese, Mascarpone","Milk and milk products",1,46,1798,436,44.5,29.5,1.59,4.82,12.67,5.04,1.8,11.7,0.63,9.65,1.9,0.77,0.19,0,0.03,0.01,0.04,0.02,0.03,0,"0.27","0.89",123,4.3,0,"4.3",0,0,4.6,"0.2",0,394,376,214,0.3,1.1,0.04,0.22,0.1,0.04,11,0.6,0,161,0,70,137,11,0.7,2,0,116,14,NA,"Information on the source of each value can be found in NO21-biblio.csv ","NO21"
